426	heterogeneous networks	TRUE	definitely good
426	heterogeneous network	FALSE	definitely good
426	heterogeneous network environments	FALSE	probably good
426	heterogeneous network (hetnet)	FALSE	definitely good
		Overall	probably good
		
2168	genetic screening	TRUE	definitely good
2168	genetic risk	FALSE	probably wrong
2168	genetic association studies	FALSE	probably wrong
2168	genetic susceptibility	FALSE	probably wrong
		Overall	definitely wrong	Out of scope
		
651	backpropagation algorithm	TRUE	definitely good
651	backpropagation	FALSE	definitely good
651	back-propagation	FALSE	definitely good
651	back propagation algorithm	FALSE	definitely good
651	backpropagation algorithms	FALSE	definitely good
651	back propagation	FALSE	definitely good
		Overall	definitely good
		
2089	graphical user interfaces	TRUE	definitely good
2089	graphical user interface	FALSE	definitely good
2089	gui	FALSE	definitely good
2089	graphical user interfaces (gui)	FALSE	definitely good
		Overall	definitely good
		
2174	chromosomes, human, 6-12 and x	TRUE	definitely good
2174	chromosomes, human, 4-5	FALSE	probably wrong
2174	chromosomes, human, 1-3	FALSE	probably wrong
2174	chromosomes, human, 13-15	FALSE	probably wrong
2174	chromosomes, human, 16-18	FALSE	probably wrong
2174	chromosomes, human, 21-22 and y	FALSE	probably wrong
2174	chromosomes, human, 19-20	FALSE	probably wrong
		Overall	probably wrong	Out of scope
		
416	spectrum sharing	TRUE	definitely wrong
416	spectrum holes	FALSE	definitely wrong
416	spectrum bands	FALSE	definitely wrong
416	spectrum usage	FALSE	probably good
416	spectrum allocation	FALSE	definitely good
416	spectrum utilization	FALSE	probably good
416	spectrum management	FALSE	definitely good
		Overall	definitely wrong
		
1098	program debugging	TRUE	definitely good
1098	software debugging	FALSE	definitely good
1098	testing and debugging	FALSE	definitely wrong
1098	debugging	FALSE	definitely good
		Overall	definitely wrong
		
2203	computational efficiency	TRUE	definitely good
2203	computation efficiency	FALSE	definitely good
2203	computational time	FALSE	definitely wrong
2203	computational costs	FALSE	probably good
2203	computation time	FALSE	definitely wrong
		Overall	definitely wrong
		
645	neural networks	TRUE	definitely good
645	artificial neural networks	FALSE	definitely good
645	artificial neural network	FALSE	definitely good
645	neural network model	FALSE	definitely good
645	back-propagation neural networks	FALSE	definitely wrong	There are other ways of establishing NN weights, like genetic algorithms.
645	neural network	FALSE	definitely good
645	back-propagation neural network	FALSE	definitely wrong
645	back propagation neural networks	FALSE	definitely wrong
		Overall	definitely wrong
		
1760	multi-core processor	TRUE	definitely good
1760	multi-core processors	FALSE	definitely good
1760	multicore processors	FALSE	definitely good
1760	multicore processor	FALSE	definitely good
		Overall	definitely good
		
557	internet of things	TRUE	definitely good
557	iot	FALSE	definitely good
557	internet of thing (iot)	FALSE	definitely good
